"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2001","Stratum_1"," [kg]",120553619.523142,81102469.3743982,0.672750181165892
"1","2002","Stratum_1"," [kg]",173050057.994696,114044499.57545,0.659026069664449
"1","2003","Stratum_1"," [kg]",165137495.361217,111811484.10224,0.677081142944953
"1","2004","Stratum_1"," [kg]",135976650.161049,92329040.6692085,0.679006583555746
"1","2005","Stratum_1"," [kg]",122464802.510215,79143198.3379047,0.646252610674019
"1","2006","Stratum_1"," [kg]",92901680.0933271,61513505.9257516,0.662135559485646
"1","2007","Stratum_1"," [kg]",113988895.640808,75927612.3040293,0.666096569119206
"1","2008","Stratum_1"," [kg]",103382395.382677,65248609.7183903,0.631138497776801
"1","2009","Stratum_1"," [kg]",84582367.1900782,56098012.9782872,0.663235315372772
"1","2010","Stratum_1"," [kg]",77684797.3859984,51195242.0536153,0.65901236504792
"1","2011","Stratum_1"," [kg]",80886797.9756171,54111753.2201375,0.66898127474955
"1","2012","Stratum_1"," [kg]",126439257.332463,84931920.0921474,0.671721124308927
"1","2013","Stratum_1"," [kg]",131066215.238107,85000952.5473458,0.648534425083726
"1","2014","Stratum_1"," [kg]",154895399.952529,104672800.123532,0.675764420090022
"1","2015","Stratum_1"," [kg]",120023853.662429,78264894.8925202,0.652077837065978
"1","2016","Stratum_1"," [kg]",123601104.804772,79532435.5052976,0.643460555072859
"1","2017","Stratum_1"," [kg]",75531719.4667356,47128156.0971437,0.623951850029034
"1","2018","Stratum_1"," [kg]",124762534.660707,79538252.4761948,0.637517125573796
"1","2019","Stratum_1"," [kg]",96772786.0724927,60998635.5299965,0.630328401254275
